"Date","Price","Open","High","Low","Vol.","Change %"
"25-08-2025","24,989.70","24,950.10","25,030.00","24,914.10","7.28M","0.37%"
"22-08-2025","24,898.20","25,094.00","25,099.00","24,887.40","5.39M","-0.89%"
"21-08-2025","25,122.50","25,111.10","25,179.00","25,086.00","4.14M","0.16%"
"20-08-2025","25,083.30","24,974.90","25,108.10","24,960.00","4.08M","0.20%"
"19-08-2025","25,033.50","24,958.00","25,060.90","24,922.30","3.55M","0.27%"
"18-08-2025","24,966.80","24,906.30","25,079.00","24,906.30","6.68M","1.14%"
"14-08-2025","24,684.70","24,708.90","24,750.90","24,657.40","3.80M","-0.11%"
"13-08-2025","24,712.20","24,625.00","24,748.00","24,610.00","4.37M","0.64%"
"12-08-2025","24,554.90","24,605.10","24,764.00","24,541.60","6.25M","-0.30%"
"11-08-2025","24,627.90","24,455.00","24,646.20","24,409.20","4.77M","0.76%"
"08-08-2025","24,441.10","24,669.00","24,694.00","24,413.10","5.97M","-0.94%"
"07-08-2025","24,673.40","24,539.90","24,721.00","24,409.00","7.34M","0.16%"
"06-08-2025","24,634.90","24,707.80","24,738.90","24,616.60","3.96M","-0.30%"
"05-08-2025","24,707.80","24,774.90","24,783.70","24,650.00","4.06M","-0.34%"
"04-08-2025","24,793.10","24,630.00","24,812.90","24,630.00","4.34M","0.67%"
"01-08-2025","24,627.20","24,800.00","24,854.90","24,601.40","6.26M","-0.57%"
"31-07-2025","24,768.35","24,693.00","24,970.00","24,625.10","6.09M","-0.41%"
"30-07-2025","24,869.30","24,845.00","24,910.60","24,786.00","5.20M","0.12%"
"29-07-2025","24,838.80","24,636.00","24,859.00","24,630.00","6.34M","0.52%"
"28-07-2025","24,710.20","24,799.90","24,925.00","24,667.60","5.34M","-0.56%"
"25-07-2025","24,850.40","25,011.00","25,024.00","24,831.00","5.23M","-0.98%"
"24-07-2025","25,095.40","25,290.10","25,290.10","25,049.00","4.74M","-0.62%"
"23-07-2025","25,252.80","25,170.20","25,260.00","25,112.30","3.86M","0.63%"
"22-07-2025","25,093.90","25,149.90","25,200.00","25,070.00","3.10M","-0.13%"
"21-07-2025","25,127.60","24,969.20","25,139.70","24,920.60","4.27M","0.38%"
"18-07-2025","25,032.30","25,167.90","25,170.00","24,981.00","5.24M","-0.57%"
"17-07-2025","25,174.60","25,260.00","25,275.00","25,165.00","3.98M","-0.28%"
"16-07-2025","25,245.80","25,230.00","25,289.90","25,162.10","3.44M","-0.08%"
"15-07-2025","25,265.60","25,180.00","25,306.00","25,152.10","4.08M","0.39%"
"14-07-2025","25,167.50","25,234.80","25,234.80","25,076.30","4.98M","-0.22%"
"11-07-2025","25,223.40","25,335.00","25,384.00","25,205.00","5.55M","-0.78%"
"10-07-2025","25,421.90","25,590.80","25,595.20","25,411.20","4.97M","-0.54%"
"09-07-2025","25,558.80","25,592.90","25,646.00","25,522.80","3.48M","-0.21%"
"08-07-2025","25,611.90","25,530.00","25,635.00","25,499.40","3.02M","0.29%"
"07-07-2025","25,538.90","25,528.90","25,574.80","25,475.70","3.13M","0.00%"
"04-07-2025","25,540.10","25,500.10","25,558.60","25,410.00","4.45M","0.12%"
"03-07-2025","25,508.60","25,551.10","25,670.00","25,485.10","6.71M","-0.15%"
"02-07-2025","25,546.10","25,659.00","25,695.10","25,480.00","5.72M","-0.38%"
"01-07-2025","25,643.30","25,636.00","25,691.40","25,596.10","3.40M","0.11%"
"30-06-2025","25,614.20","25,765.00","25,792.40","25,575.00","7.13M","-0.53%"
"27-06-2025","25,750.20","25,695.00","25,772.30","25,635.00","4.58M","0.79%"
"26-06-2025","25,549.00","25,302.00","25,564.00","25,272.30","5.70M","1.18%"
"25-06-2025","25,252.20","25,152.10","25,290.00","25,130.20","5.42M","0.72%"
"24-06-2025","25,071.70","25,180.20","25,349.00","25,036.20","10.63M","0.31%"
"23-06-2025","24,993.30","24,975.00","25,090.00","24,825.00","8.31M","-0.47%"
"20-06-2025","25,111.70","24,825.00","25,137.00","24,806.50","7.88M","1.24%"
"19-06-2025","24,803.10","24,813.00","24,891.40","24,751.00","4.18M","-0.10%"
"18-06-2025","24,826.90","24,840.10","24,978.80","24,786.00","5.51M","-0.17%"
"17-06-2025","24,868.80","24,996.10","25,003.50","24,839.10","4.57M","-0.51%"
"16-06-2025","24,996.20","24,755.50","25,024.80","24,735.00","6.67M","1.09%"
"13-06-2025","24,727.40","24,588.00","24,790.00","24,575.30","6.75M","-0.84%"
"12-06-2025","24,937.40","25,210.50","25,260.00","24,901.30","8.96M","-1.09%"
"11-06-2025","25,211.70","25,179.90","25,307.00","25,140.00","4.68M","0.20%"
"10-06-2025","25,160.60","25,222.00","25,249.20","25,130.00","3.54M","-0.08%"
"09-06-2025","25,181.80","25,205.00","25,234.00","25,147.40","3.44M","0.34%"
"06-06-2025","25,096.30","24,854.90","25,139.00","24,750.00","8.24M","0.94%"
"05-06-2025","24,861.40","24,752.30","25,008.80","24,716.10","7.98M","0.53%"
"04-06-2025","24,729.40","24,710.00","24,761.00","24,637.60","3.82M","0.22%"
"03-06-2025","24,675.30","24,835.00","24,929.00","24,631.00","7.91M","-0.61%"
"02-06-2025","24,826.30","24,799.00","24,869.00","24,610.00","6.98M","-0.18%"
"30-05-2025","24,871.20","24,940.20","24,987.70","24,840.00","5.22M","0.15%"
"29-05-2025","24,833.60","24,828.60","24,900.00","24,661.00","6.08M","0.29%"
"28-05-2025","24,762.50","24,772.60","24,896.00","24,742.50","5.90M","-0.40%"
"27-05-2025","24,862.60","25,000.00","25,108.80","24,739.00","10.98M","-0.69%"
"26-05-2025","25,035.90","24,950.00","25,123.90","24,935.20","5.65M","0.63%"
"23-05-2025","24,879.90","24,656.50","24,961.70","24,634.90","7.19M","0.92%"
"22-05-2025","24,652.20","24,778.00","24,792.90","24,515.00","8.54M","-0.72%"
"21-05-2025","24,832.20","24,755.30","25,019.00","24,720.00","7.81M","0.23%"
"20-05-2025","24,774.60","25,040.20","25,059.90","24,745.00","7.24M","-0.81%"
"19-05-2025","24,976.40","25,060.10","25,117.20","24,952.70","3.97M","-0.41%"
"16-05-2025","25,078.70","25,126.10","25,149.00","25,006.00","4.66M","0.00%"
"15-05-2025","25,078.70","24,733.90","25,144.90","24,600.00","13.97M","1.47%"
"14-05-2025","24,715.90","24,670.00","24,834.40","24,572.30","6.58M","0.31%"
"13-05-2025","24,640.20","24,960.00","25,044.00","24,613.50","12.26M","-1.61%"
"12-05-2025","25,044.10","24,476.00","25,069.90","24,410.00","11.74M","4.07%"
"09-05-2025","24,065.50","24,063.40","24,215.00","23,984.00","11.31M","-0.85%"
"08-05-2025","24,271.90","24,489.00","24,523.90","24,194.10","8.52M","-0.77%"
"07-05-2025","24,461.40","24,343.90","24,538.50","24,311.00","7.49M","0.12%"
"06-05-2025","24,431.40","24,574.80","24,576.80","24,410.00","4.89M","-0.50%"
"05-05-2025","24,553.70","24,481.10","24,630.00","24,471.00","5.72M","0.63%"
"02-05-2025","24,400.70","24,399.90","24,718.30","24,310.00","11.98M","-0.07%"
"30-04-2025","24,418.40","24,369.90","24,486.00","24,348.70","5.21M","-0.03%"
"29-04-2025","24,425.30","24,484.00","24,567.90","24,396.10","5.93M","-0.11%"
"28-04-2025","24,452.80","24,200.20","24,489.00","24,140.00","7.82M","1.30%"
"25-04-2025","24,139.10","24,465.00","24,511.00","23,975.00","12.62M","-0.44%"
"24-04-2025","24,246.70","24,288.00","24,360.00","24,225.00","4.14M","-0.27%"
"23-04-2025","24,312.70","24,310.00","24,351.80","24,121.10","7.44M","0.59%"
"22-04-2025","24,169.00","24,150.00","24,239.80","24,077.00","6.54M","0.14%"
"21-04-2025","24,135.50","23,875.90","24,194.50","23,875.60","5.80M","1.19%"
"17-04-2025","23,851.30","23,399.90","23,872.70","23,330.00","10.16M","1.78%"
"16-04-2025","23,433.50","23,338.00","23,450.00","23,277.20","5.35M","0.40%"
"15-04-2025","23,340.90","23,295.00","23,399.90","23,252.00","6.69M","1.85%"
"11-04-2025","22,917.65","22,746.00","23,017.00","22,746.00","9.05M","1.95%"
"09-04-2025","22,479.65","22,544.00","22,544.00","22,405.05","6.80M","-0.67%"
"08-04-2025","22,630.35","22,511.60","22,744.90","22,341.00","11.71M","1.65%"
"07-04-2025","22,263.80","22,201.50","22,347.00","21,860.00","19.67M","-3.02%"
"04-04-2025","22,958.15","23,229.70","23,250.00","22,920.05","8.11M","-1.58%"
"03-04-2025","23,325.95","23,215.00","23,411.10","23,215.00","5.14M","-0.48%"
"02-04-2025","23,438.95","23,326.95","23,459.60","23,300.00","4.82M","0.50%"
"01-04-2025","23,321.40","23,530.00","23,668.00","23,290.00","9.20M","-1.34%"
"28-03-2025","23,637.65","23,775.05","23,801.60","23,560.00","7.31M","0.19%"
"27-03-2025","23,591.95","23,470.00","23,643.10","23,455.05","5.40M","0.30%"
"26-03-2025","23,521.90","23,735.00","23,761.40","23,494.90","8.31M","-0.77%"
"25-03-2025","23,705.35","23,767.10","23,893.90","23,660.00","8.45M","-0.58%"
"24-03-2025","23,844.15","23,599.95","23,875.90","23,588.00","3.70M","1.35%"
"21-03-2025","23,527.50","23,330.05","23,574.00","23,315.75","1.96M","0.78%"
"20-03-2025","23,346.50","23,208.75","23,375.00","23,170.00","1.68M","0.96%"
"19-03-2025","23,123.45","23,067.95","23,140.95","23,016.65","1.16M","0.40%"
"18-03-2025","23,031.60","22,830.00","23,052.50","22,815.15","1.14M","1.33%"
"17-03-2025","22,728.90","22,587.00","22,812.15","22,587.00","546.08K","1.27%"
"13-03-2025","22,444.25","22,550.00","22,615.80","22,430.10","4.93M","-0.38%"
"12-03-2025","22,530.35","22,580.00","22,618.80","22,380.20","5.86M","-0.15%"
"11-03-2025","22,564.30","22,419.95","22,592.05","22,361.55","5.64M","0.22%"
"10-03-2025","22,515.65","22,599.90","22,728.15","22,486.85","5.19M","-0.59%"
"07-03-2025","22,649.95","22,598.90","22,738.00","22,572.20","5.67M","0.13%"
"06-03-2025","22,620.95","22,541.00","22,638.15","22,359.00","8.78M","0.80%"
"05-03-2025","22,441.35","22,200.00","22,498.00","22,168.30","6.19M","1.13%"
